instance_id,name,value,CatofInt,condition,ref_cat
532,describeShape0001,Someone sitting cross-legged with their arms up,yoga,W. Conf.,yoga
532,describeShape0001,It looks like someone doing yoga. A person making one of the yoga poses.,yoga,W. Conf.,yoga
532,describeShape0001,someone on their back bouncing a ball in the air,ball,W. Conf.,yoga
532,describeShape0001,A yoga pose or sitting 'Indian style' on knees,yoga,W. Conf.,yoga
532,describeShape0001,two opposing car gaming chairs and a ball,car+ball,W. Conf.,yoga
532,describeShape0001,people kicking a ball up,ball,W. Conf.,yoga
532,describeShape0001,yoga,yoga,W. Conf.,yoga
532,describeShape0001,yoga,yoga,W. Conf.,yoga
532,describeShape0001,A high sun risr,sunrise,W. Conf.,yoga
532,describeShape0001,yoga with arms way up,yoga,W. Conf.,yoga
532,describeShape0001,person doing yoga,yoga,W. Conf.,yoga
532,describeShape0001,Y,y,W. Conf.,yoga
532,describeShape0001,A ball in the air.,ball,W. Conf.,yoga
538,describeShape0001,Venus fly trap,venus fly trap,W. Conf.,yoga
538,describeShape0001,yoga,yoga,W. Conf.,yoga
538,describeShape0001,crocodile leaping,crocodile,W. Conf.,yoga
538,describeShape0001,Two biceps and a circle above,bicep,W. Conf.,yoga
538,describeShape0001,yoga,yoga,W. Conf.,yoga
538,describeShape0001,someone doing yoga,yoga,W. Conf.,yoga
538,describeShape0001,V-shape thing with a dot head.,v-dot,W. Conf.,yoga
538,describeShape0001,yoga,yoga,W. Conf.,yoga
538,describeShape0001,It looks like a yoga pose or someone sitting cross legged.,yoga,W. Conf.,yoga
538,describeShape0001,like a tuxedo,tuxedo,W. Conf.,yoga
538,describeShape0001,This is arms up,arms up ,W. Conf.,yoga
538,describeShape0001,child,child,W. Conf.,yoga
538,describeShape0001,It looks like a person sitting down,yoga,W. Conf.,yoga
538,describeShape0001,Yoga,yoga,W. Conf.,yoga
526,describeShape0001,It looks like an individual performing a yoga maneuver.,yoga,W. Conf.,yoga
526,describeShape0001,man with arms up,yoga,W. Conf.,yoga
526,describeShape0001,a person reading,reading,W. Conf.,yoga
526,describeShape0001,yoga,yoga,W. Conf.,yoga
526,describeShape0001,A shark attacking something.,shark,W. Conf.,yoga
526,describeShape0001,A person with their hands stretched up,yoga,W. Conf.,yoga
526,describeShape0001,A yoga pose,yoga,W. Conf.,yoga
526,describeShape0001,elevation,yoga,W. Conf.,yoga
526,describeShape0001,Praying or yoga,yoga,W. Conf.,yoga
526,describeShape0001,yoga,yoga,W. Conf.,yoga
526,describeShape0001,A person sitting.,yoga,W. Conf.,yoga
526,describeShape0001,A person doing yoga,yoga,W. Conf.,yoga
532,describeShape0001,scissors,scissor,W. Conf.,yoga
519,describeShape0001,Tall kidneys,kidney,W. Conf.,yoga
519,describeShape0001,"It looks like an x with a dot on top. I used ""xdot"" or ""yoga"".",yoga,W. Conf.,yoga
519,describeShape0001,jumping,jumping,W. Conf.,yoga
519,describeShape0001,scissors,scissor,W. Conf.,yoga
519,describeShape0001,Tall large person,yoga,W. Conf.,yoga
519,describeShape0001,piranha,piranha,W. Conf.,yoga
519,describeShape0001,stretching,yoga,W. Conf.,yoga
519,describeShape0001,clown with big feet,clown,W. Conf.,yoga
519,describeShape0001,An animal taking a bite.,animal,W. Conf.,yoga
519,describeShape0001,An x with a dot above it.,x dot ,W. Conf.,yoga
519,describeShape0001,Scissors about to cut a ball,scissor,W. Conf.,yoga
519,describeShape0001,A cup with a ball floating over it,ball ,W. Conf.,yoga
508,describeShape0304,bowtie,bowtie,W. Conf.,bowtie
508,describeShape0304,ball and butterfly,butterfly,W. Conf.,bowtie
508,describeShape0304,Hands,hands,W. Conf.,bowtie
508,describeShape0304,It looks like someone praying or reading a book.,reading,W. Conf.,bowtie
508,describeShape0304,someone reading a book,reading,W. Conf.,bowtie
508,describeShape0304,bowtie,bowtie,W. Conf.,bowtie
508,describeShape0304,It looks like a butterfly,butterfly,W. Conf.,bowtie
508,describeShape0304,A fly with a sort of detached head,fly,W. Conf.,bowtie
508,describeShape0304,a person reading,reading,W. Conf.,bowtie
508,describeShape0304,"Butterfly, bowtie or someone reading a book.",bowtie,W. Conf.,bowtie
508,describeShape0304,A dragonfly and a floating orb,dragonfly,W. Conf.,bowtie
532,describeShape0304,A very large bow tie or a moth below a marble,bowtie,W. Conf.,bowtie
532,describeShape0304,It looks like a person reading a book.,reading,W. Conf.,bowtie
532,describeShape0304,moth or butterfly,butterfly,W. Conf.,bowtie
532,describeShape0304,Either a bowtie or a moth (or insect with wings),bowtie,W. Conf.,bowtie
532,describeShape0304,dragonfly,dragonfly,W. Conf.,bowtie
532,describeShape0304,person reading a book,reading,W. Conf.,bowtie
532,describeShape0304,bow tie,bowtie,W. Conf.,bowtie
532,describeShape0304,sunrise,sunrise,W. Conf.,bowtie
532,describeShape0304,A bowtie,bowtie,W. Conf.,bowtie
532,describeShape0304,a bowtie,bowtie,W. Conf.,bowtie
532,describeShape0304,person reading a book,reading,W. Conf.,bowtie
532,describeShape0304,wings,wings,W. Conf.,bowtie
532,describeShape0304,A fly,fly,W. Conf.,bowtie
538,describeShape0304,Bowtie with a button above it,bowtie,W. Conf.,bowtie
538,describeShape0304,prayer,prayer,W. Conf.,bowtie
538,describeShape0304,moth,moth,W. Conf.,bowtie
538,describeShape0304,Butterfly,butterfly,W. Conf.,bowtie
